https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1601424000000,2020-09-30 00:00:00,BNB/USDT,28.88140000,29.56460000,27.88130000,29.26560000,3106927.07700000,89130556.74273840,196831
1601337600000,2020-09-29 00:00:00,BNB/USDT,26.99690000,29.00000000,26.86000000,28.89460000,3642915.26800000,102019998.92127550,252789
1601251200000,2020-09-28 00:00:00,BNB/USDT,26.24350000,27.72000000,25.83130000,26.98550000,3220774.85000000,86081947.22340820,231333
1601164800000,2020-09-27 00:00:00,BNB/USDT,26.18850000,26.90000000,25.50120000,26.25100000,2555050.06200000,67081907.12454330,202771
1601078400000,2020-09-26 00:00:00,BNB/USDT,24.69250000,26.46280000,24.47500000,26.19980000,3124585.62100000,79408145.07995210,190682
1600992000000,2020-09-25 00:00:00,BNB/USDT,24.57490000,25.07990000,23.71110000,24.69240000,2826869.58900000,69263025.79303580,192283
1600905600000,2020-09-24 00:00:00,BNB/USDT,22.84480000,24.69990000,22.56610000,24.57450000,3284994.64100000,78161095.38819340,190772
1600819200000,2020-09-23 00:00:00,BNB/USDT,24.04680000,24.34370000,22.45140000,22.83310000,3134141.77400000,73949538.77212680,195891
1600732800000,2020-09-22 00:00:00,BNB/USDT,23.12730000,24.56500000,22.66660000,24.04680000,3289566.92300000,78154701.50567520,201274
1600646400000,2020-09-21 00:00:00,BNB/USDT,26.31670000,26.68000000,22.10000000,23.12320000,5251422.24300000,127147745.41469610,356722
1600560000000,2020-09-20 00:00:00,BNB/USDT,27.20350000,27.32000000,25.12470000,26.31600000,2854262.14500000,75280239.47780470,225459
1600473600000,2020-09-19 00:00:00,BNB/USDT,27.64140000,27.97700000,26.65910000,27.20350000,2431517.15000000,66209405.92737800,195270
1600387200000,2020-09-18 00:00:00,BNB/USDT,27.11060000,28.75000000,26.57080000,27.62900000,4243135.99900000,117188169.08344460,324521
1600300800000,2020-09-17 00:00:00,BNB/USDT,27.85390000,28.83000000,26.05000000,27.09500000,4620518.87400000,125923630.01926240,310389
1600214400000,2020-09-16 00:00:00,BNB/USDT,27.11480000,28.47240000,25.82000000,27.86950000,5777419.75200000,157849897.40358840,370735
1600128000000,2020-09-15 00:00:00,BNB/USDT,31.25460000,31.27800000,26.71230000,27.11810000,7931354.64600000,228427870.13849890,481264
1600041600000,2020-09-14 00:00:00,BNB/USDT,31.16560000,33.38880000,29.00000000,31.25230000,9039644.32000000,282868031.26554300,501957
1599955200000,2020-09-13 00:00:00,BNB/USDT,28.50440000,32.44010000,27.61000000,31.16560000,10646215.66000000,324162248.74074100,573503
1599868800000,2020-09-12 00:00:00,BNB/USDT,25.40000000,28.53050000,25.35750000,28.50500000,6538679.83000000,175807206.95354000,369608
1599782400000,2020-09-11 00:00:00,BNB/USDT,24.55790000,25.69690000,23.06770000,25.39900000,3622605.07000000,88276634.60726000,221036
1599696000000,2020-09-10 00:00:00,BNB/USDT,24.48470000,25.67000000,24.05680000,24.54890000,4199327.55000000,103978013.81316700,259800
1599609600000,2020-09-09 00:00:00,BNB/USDT,23.27450000,24.52010000,22.41390000,24.47160000,4016452.51000000,94841678.35523300,234896
1599523200000,2020-09-08 00:00:00,BNB/USDT,22.44280000,23.42000000,21.27390000,23.28370000,5158563.98000000,115741375.12774100,292313
1599436800000,2020-09-07 00:00:00,BNB/USDT,23.16120000,23.55450000,20.00000000,22.44260000,5454222.91000000,118861938.29512300,260044
1599350400000,2020-09-06 00:00:00,BNB/USDT,19.47370000,23.44180000,18.52830000,23.14200000,8105158.28000000,174973263.27727900,337899
