https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1600732800000,2020-09-22 00:00:00,EOS/USDT,2.50510000,2.58490000,2.48670000,2.57180000,6639827.21000000,16872047.85302600,37873
1600646400000,2020-09-21 00:00:00,EOS/USDT,2.67270000,2.68950000,2.48970000,2.50510000,11704230.68000000,30314308.94209900,69661
1600560000000,2020-09-20 00:00:00,EOS/USDT,2.70170000,2.70170000,2.62290000,2.67150000,5718243.29000000,15240429.86657700,35678
1600473600000,2020-09-19 00:00:00,EOS/USDT,2.69050000,2.73770000,2.67890000,2.70310000,5617629.89000000,15217591.11910500,30812
1600387200000,2020-09-18 00:00:00,EOS/USDT,2.73750000,2.75000000,2.64910000,2.69050000,9252473.72000000,25086371.62865500,47255
1600300800000,2020-09-17 00:00:00,EOS/USDT,2.71240000,2.77610000,2.69400000,2.73750000,10099272.94000000,27554904.36576200,59285
1600214400000,2020-09-16 00:00:00,EOS/USDT,2.70360000,2.74920000,2.57710000,2.71300000,13376622.27000000,35755973.56337800,84744
1600128000000,2020-09-15 00:00:00,EOS/USDT,2.73100000,2.78140000,2.69760000,2.70340000,10931677.27000000,29945885.05351500,62814
1600041600000,2020-09-14 00:00:00,EOS/USDT,2.72490000,2.76400000,2.68540000,2.73170000,8910182.70000000,24340937.18380900,56138
1599955200000,2020-09-13 00:00:00,EOS/USDT,2.80460000,2.82690000,2.67260000,2.72490000,10904326.97000000,30018430.02012100,69368
1599868800000,2020-09-12 00:00:00,EOS/USDT,2.78500000,2.82880000,2.74100000,2.80520000,7893987.78000000,21999147.74790900,46841
1599782400000,2020-09-11 00:00:00,EOS/USDT,2.77590000,2.82140000,2.71710000,2.78460000,10953743.36000000,30428900.26152900,64005
1599696000000,2020-09-10 00:00:00,EOS/USDT,2.75140000,2.84190000,2.73770000,2.77670000,11796591.11000000,32825400.48376400,64737
1599609600000,2020-09-09 00:00:00,EOS/USDT,2.76200000,2.81340000,2.69660000,2.75140000,10566139.48000000,29172177.31026600,62772
1599523200000,2020-09-08 00:00:00,EOS/USDT,2.85360000,2.85940000,2.67070000,2.76220000,17445846.31000000,48094188.51926000,116634
1599436800000,2020-09-07 00:00:00,EOS/USDT,2.90250000,2.93930000,2.65950000,2.85200000,20516121.64000000,57435242.76064400,138376
1599350400000,2020-09-06 00:00:00,EOS/USDT,2.93910000,3.03350000,2.81010000,2.90240000,20449007.58000000,59499477.83814100,143413
