Date,Price,Open,High,Low,Vol.,Change %
Oct 08 2019,1531.90,1524.20,1540.00,1522.60,0.43K,-0.04%
Oct 07 2019,1532.50,1538.90,1538.90,1522.20,0.16K,-0.53%
Oct 04 2019,1540.70,1541.30,1541.30,1530.20,0.07K,-0.04%
Oct 03 2019,1541.30,1536.80,1551.80,1535.20,0.45K,0.29%
Oct 02 2019,1536.80,1512.80,1536.30,1509.90,0.34K,1.24%
Oct 01 2019,1518.00,1502.60,1520.00,1499.00,0.22K,1.05%
Sep 30 2019,1502.30,1533.00,1533.00,1500.10,0.51K,-2.20%
Sep 27 2019,1536.10,1538.30,1538.30,1525.70,0.17K,-0.58%
Sep 26 2019,1545.00,1538.90,1547.00,1538.00,0.25K,0.19%
Sep 25 2019,1542.00,1572.00,1572.00,1539.10,0.25K,-1.79%
Sep 24 2019,1570.10,1560.10,1573.00,1554.90,0.51K,0.54%
Sep 23 2019,1561.60,1556.60,1562.50,1556.60,0.02K,1.05%
Sep 20 2019,1545.30,1537.80,1553.50,1537.80,0.10K,0.58%
Sep 19 2019,1536.40,1528.80,1540.40,1528.80,0.16K,-0.63%
Sep 18 2019,1546.10,1538.90,1549.00,1530.40,0.50K,0.13%
Sep 17 2019,1544.10,1538.80,1542.30,1538.80,0.01K,0.12%
Sep 16 2019,1542.30,1542.60,1546.50,1536.40,0.69K,0.76%
Sep 13 2019,1530.70,1543.40,1543.40,1525.60,0.18K,-0.46%
Sep 12 2019,1537.80,1530.40,1558.60,1530.40,0.41K,0.35%
Sep 11 2019,1532.40,1528.80,1534.40,1528.80,0.04K,0.28%
Sep 10 2019,1528.10,1531.90,1532.60,1524.90,0.16K,-0.75%
Sep 09 2019,1539.60,1540.10,1546.60,1534.10,0.24K,-0.24%
Sep 06 2019,1543.30,1551.00,1559.90,1539.20,0.06K,-0.62%
Sep 05 2019,1552.90,1579.50,1584.10,1544.90,0.10K,-2.17%
Sep 04 2019,1587.40,1582.70,1590.70,1572.00,0.34K,0.27%
Sep 03 2019,1583.20,1562.80,1583.90,1561.20,0.24K,3.13%
Sep 02 2019,1535.15,1537.95,1540.05,1528.15,-,-0.19%
Sep 01 2019,1538.05,1535.25,1542.90,1535.25,-,-1.23%
Aug 30 2019,1557.20,1564.10,1566.90,1555.00,0.45K,-0.43%
Aug 29 2019,1564.00,1571.90,1578.80,1562.00,0.25K,-0.72%
Aug 28 2019,1575.30,1572.30,1578.00,1571.60,0.24K,-0.17%
Aug 27 2019,1578.00,1566.20,1579.30,1564.60,0.17K,0.95%
Aug 26 2019,1563.10,1584.50,1584.50,1563.20,0.07K,-0.03%
Aug 23 2019,1563.50,1539.00,1563.50,1537.30,0.26K,1.90%
Aug 22 2019,1534.40,1534.30,1538.80,1530.50,0.25K,-0.46%
Aug 21 2019,1541.50,1532.70,1540.60,1532.70,0.56K,0.01%
Aug 20 2019,1541.30,1530.20,1540.70,1530.20,0.17K,0.27%
Aug 19 2019,1537.20,1543.90,1543.90,1531.00,0.35K,-0.77%
Aug 16 2019,1549.20,1557.40,1557.70,1541.30,0.16K,-0.48%
Aug 15 2019,1556.70,1553.00,1561.20,1546.00,0.29K,0.17%
